id,method,a1,a2,a3_1,a3_2,a3_3,a3_4,a3_5,a3_6,a3_7,a3_8,a3_9,a3_10,a3_11,a3_12,a3_13,a3_14,a3_15,a3_16,a3_17,a3_18,a3_19,a3_20,a4_1,a4_2,a4_3,a4_4,a4_5,a4_6,a4_7,a5_1,a5_2,a5_3,a5_4,a5_5,a5_6,a5_7,a5_8,a6_1,a6_2,a6_3,a6_4,a6_5,a6_6,a6_7,a6_8,a6_9,a6_10,a7_1,a7_2,a7_3,a7_4,a7_5,a7_6,a7_7,a7_8,a7_9,a7_10,a7_11,a8,b1,b2,b3,b4,b5,b6,b7_1,b7_2,b7_3,b7_4,b7_5,b7_6,b7_7,b7_8,b8_1,b8_2,b8_3,b8_4,b8_5,b8_6,b8_7,b8_8,b9_1,b9_2,b9_3,b9_4,b9_5,b9_6,b9_7,b9_8,b9_9,b9_10,b9_11,b9_12,b9_13,b9_14,b9_15,b9_16,b9_17,b9_18,b9_19,b9_20,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27_1,c27_2,c27_3,c27_4,c27_5,c27_6,c27_7,c27_8,c27_9,c27_10,c27_11,d1_1,d1_2,d1_3,d1_4,d1_5,d1_6,d1_7,d1_8,d1_9,d1_10,d1_11,d1_12,d1_13,d1_14,d1_15,d1_16,e1,e2,e3,e4,e5,e6,e7,e8,e9,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9,f1_10,f2_1,f2_2,f2_3,f2_4,f2_5,f2_6,f2_7,f2_8,f2_9,f2_10,f2_11,f2_12,g1,g2_1,g2_2,g2_3,g2_4,g2_5,g2_6,g2_7,g2_8,g2_9,g2_10,g3_1,g3_2,g3_3,g3_4,g3_5,g3_6,g4_1,g4_2,g4_3,g4_4,g4_5,g4_6,g4_7,g4_8,g4_9,h1,h2,h3,h4,h5_1,h5_2,h5_3,h5_4,h5_5,h6,h7,h8
111,Online,The right direction,Increasing,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Getting somewhat better,Staying the same,Getting somewhat better,Getting somewhat worse,Getting somewhat better,Getting somewhat better,Getting somewhat better,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,To a very high degree,8,8,7,8,8,6,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,,8,9,,,,8,,,9,8,8,,,,,,,8,,,,,0,1,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Development Partners (Bilateral Agency, Multilateral Agency)","Health, nutrition",Yes,The World Bank (IBRD/IDA),0,0,1,1,0,Male,46-55,Yangon
112,Online,The right direction,Increasing,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Getting somewhat better,Getting somewhat worse,Staying the same,Getting somewhat worse,Staying the same,Staying the same,Staying the same,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,4,4,4,8,3,3,6,5,4,3,3,To a somewhat high degree,6,8,8,6,6,6,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3,2,3,2,4,6,2,4,2,6,6,3,4,4,7,9,6,7,2,4,4,6,6,4,Somewhat unfamiliar,5,1,1,0,0,0,0,0,0,0,0,0,7,,7,,9,2,,,3,3,5,Not effective at all,8,4,5,4,2,3,3,5,5,,2,7,7,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,At least once a week,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,Every few weeks,Every few months,Every few months,Not at all,Every few weeks,Not at all,Every few weeks,Every few weeks,Not at all,"Development Partners (Bilateral Agency, Multilateral Agency)","Agriculture, rural development",Yes,The World Bank (IBRD/IDA),0,0,1,1,0,Female,56 and above,Yangon
113,Online,Not sure,Increasing,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Getting somewhat better,Getting somewhat better,Getting somewhat better,Getting much worse,Getting somewhat better,Staying the same,Getting somewhat better,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,,6,9,7,8,7,8,9,7,6,7,To a somewhat high degree,7,9,9,9,9,9,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8,7,6,7,8,9,8,9,8,8,8,7,7,8,9,9,8,7,7,8,8,9,8,8,Very unfamiliar,8,0,0,1,0,0,0,1,0,0,0,0,,,8,,,,,,,,,9,,,,,8,9,8,8,9,,8,,8,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,Less than once a month,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,Every few weeks,Every few weeks,Not at all,Every few weeks,Every few months,Not at all,Every few months,Every few months,Every few months,"Development Partners (Bilateral Agency, Multilateral Agency)","Agriculture, rural development",Yes,The World Bank (IBRD/IDA),0,0,0,1,0,Male,56 and above,Yangon
114,Online,The right direction,Increasing,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Getting somewhat better,Getting somewhat better,Getting somewhat better,Getting somewhat worse,Getting somewhat better,Getting somewhat better,Getting somewhat worse,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,5,6,6,5,4,4,3,7,4,8,2,To a somewhat low degree,8,8,7,8,7,8,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,5,7,7,7,8,6,8,7,8,8,,,8,8,9,8,8,6,8,,8,8,8,Somewhat familiar,8,0,0,1,0,0,0,0,0,1,0,0,,7,7,,7,7,7,,,,7,8,,,,,7,7,6,8,,,8,7,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,At least once a month,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,Every few months,Every few months,Not at all,Every few months,Every few months,Not at all,Every few months,Every few weeks,Not at all,Academia/Research Institute/Think Tank,Social protection,Yes,The World Bank (IBRD/IDA),0,0,0,1,0,Male,46-55,Yangon
115,Online,Not sure,Increasing,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Getting somewhat worse,Getting somewhat worse,Getting somewhat worse,Getting much worse,Getting somewhat worse,Getting somewhat worse,Getting much worse,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,3,3,3,3,,5,3,3,3,To no degree at all,To a somewhat high degree,4,5,3,5,5,5,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,4,4,4,4,3,6,5,,5,5,,,8,8,8,8,,,,,,5,5,5,Very unfamiliar,2,0,0,0,1,0,1,0,0,0,0,0,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,6,6,7,9,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,At least once a month,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,Every few days,Every few days,Every few days,Every few weeks,Every few months,Not at all,Every few months,Every few months,Every few weeks,"Development Partners (Bilateral Agency, Multilateral Agency)","Communications, public affairs",Yes,The World Bank (IBRD/IDA),0,0,1,1,0,Male,56 and above,Yangon
116,Online,Not sure,Staying about the same,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Staying the same,Getting somewhat better,Getting somewhat better,Getting somewhat better,Getting somewhat worse,Staying the same,Getting somewhat better,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,3,4,3,3,3,5,3,4,3,3,To a somewhat high degree,6,6,6,6,6,7,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,6,4,5,6,7,5,6,6,5,5,6,6,6,6,8,8,6,8,4,8,8,6,6,6,Somewhat familiar,7,0,1,0,1,0,0,0,0,0,0,0,5,6,6,5,7,5,5,5,6,7,7,7,7,6,7,7,5,5,5,5,6,6,6,6,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Less than once a month,0,0,0,0,0,1,0,0,1,0,,,,,,,Not at all,Not at all,Not at all,Every few months,Not at all,Not at all,Every few months,Every few months,Not at all,Private Sector,Finance and markets,Yes,The International Finance Corporation (IFC),0,1,0,0,0,Female,36-45,Yangon
117,Online,The right direction,Increasing,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Staying the same,Getting somewhat better,Getting somewhat better,Getting somewhat worse,Getting somewhat worse,Getting somewhat worse,Getting somewhat better,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,7,8,8,8,8,8,6,9,4,6,9,To a somewhat low degree,2,7,7,8,8,8,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,7,7,7,7,6,8,8,6,6,5,5,5,6,8,6,8,7,8,,,,,6,7,Somewhat unfamiliar,7,1,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,7,6,7,7,,,8,,,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Once a year to a few times a year,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,Every few weeks,Every few months,Not at all,Every few months,Every few months,Not at all,Not at all,Not at all,Every few months,"Media (press, radio, TV, web, etc.)",Trade and competitiveness,No,,0,1,0,0,1,Female,46-55,Yangon
118,Online,The right direction,Increasing,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Getting somewhat better,Staying the same,Getting somewhat better,Getting somewhat worse,Getting somewhat better,Getting somewhat better,Getting somewhat better,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,8,8,7,7,6,9,7,4,4,4,To a somewhat high degree,5,7,7,8,5,7,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,4,5,4,6,7,6,7,4,6,7,4,7,6,7,8,7,6,5,6,7,6,,5,Somewhat unfamiliar,7,0,0,0,0,0,1,1,0,0,0,0,,,6,5,5,,,,6,6,6,8,7,6,5,5,6,5,5,5,5,5,5,,7,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Once a year to a few times a year,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,Every few weeks,Every few months,Every few months,Every few months,Every few months,Not at all,Every few months,Not at all,Every few months,Local and International NGOs/CSOs,Other,No,,0,0,1,0,0,Male,56 and above,Yangon
119,Online,The right direction,Increasing,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Staying the same,Staying the same,Getting somewhat better,Getting somewhat better,Staying the same,Getting somewhat worse,Getting somewhat worse,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,5,7,5,7,7,6,6,7,7,7,To no degree at all,To a very low degree,8,7,7,5,6,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,5,4,5,5,7,6,5,4,3,3,5,5,5,6,4,5,5,5,5,5,5,5,4,4,Somewhat unfamiliar,5,0,0,0,0,0,1,0,0,1,0,0,5,5,5,5,3,5,5,3,5,5,5,5,5,3,5,5,5,3,3,5,4,7,5,5,4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,At least once a month,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,Every few weeks,Every few days,Not at all,Every few days,Every few months,Not at all,Every few days,Every few weeks,Not at all,"Development Partners (Bilateral Agency, Multilateral Agency)","Agriculture, rural development",No,,0,1,0,1,0,Male,46-55,Yangon
120,Online,Not sure,Staying about the same,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Staying the same,Getting somewhat worse,Getting somewhat better,Staying the same,Staying the same,Staying the same,Getting somewhat worse,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,5,3,3,3,6,5,4,5,6,5,,To a somewhat high degree,8,3,3,3,3,3,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,3,5,6,6,4,5,3,8,6,5,4,5,5,6,7,5,3,5,6,5,3,3,Somewhat unfamiliar,5,0,0,0,1,1,0,0,0,0,0,0,3,5,4,3,6,5,5,5,4,4,5,4,5,5,5,5,6,5,5,7,5,5,4,3,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Once a year to a few times a year,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,Every few weeks,Every few weeks,Not at all,Every few months,Every few months,Not at all,Every few months,Every few months,Not at all,"Development Partners (Bilateral Agency, Multilateral Agency)",Other,No,,0,0,1,1,0,Male,46-55,Other
121,Online,The right direction,Increasing,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Getting much worse,Getting much worse,Getting much worse,,Getting much worse,Getting much worse,Getting much worse,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,8,5,7,4,To no degree at all,5,4,3,To no degree at all,,3,To a somewhat low degree,3,6,4,7,5,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,4,5,4,6,4,4,4,3,3,,3,7,,7,,6,6,3,6,5,6,5,5,Somewhat unfamiliar,3,0,0,1,0,1,0,0,0,0,0,0,,5,6,6,5,5,6,5,6,5,6,6,6,5,6,5,4,4,4,6,4,4,5,5,6,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Never,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,Every few months,Every few months,Not at all,Every few months,Not at all,Not at all,Not at all,Not at all,Every few months,"Office of the President, Prime Minister",Gender,No,,0,0,0,0,1,Female,46-55,Other
